"Gene"	"BaseGeneMean"	"OutlierFactor"	"GeneMean"	"BatchFacBatch1"	"BatchFacBatch2"	"DEFacGroup1"	"DEFacGroup2"
"Gene62"	"Gene62"	4.22096083682339	1	4.22096083682339	0.443775621155917	0.49130228647154	1.06425013306254	1
"Gene63"	"Gene63"	2.55247972066333	1	2.55247972066333	0.999712764821994	2.13360828101443	1	1.2314488228713
"Gene64"	"Gene64"	10.3831173364281	1	10.3831173364281	0.525906154110412	0.772421950727951	1	1
"Gene67"	"Gene67"	9.18723604074323	1	9.18723604074323	0.404551324951055	0.959201162502954	1	1
"Gene68"	"Gene68"	4.69125013317145	1	4.69125013317145	0.903448128720544	2.50215380817496	1	1
"Gene69"	"Gene69"	10.473249481882	1	10.473249481882	0.318489973626253	0.557759695711409	1	1
"Gene70"	"Gene70"	1.77410207311507	1	1.77410207311507	1.36775202094098	2.51841510039788	1	1
"Gene73"	"Gene73"	4.405757271113	1	4.405757271113	0.863609524502738	0.564028251502542	1	1
"Gene75"	"Gene75"	12.3648410791723	1	12.3648410791723	0.715529673782717	1.64506767704932	1	1
"Gene76"	"Gene76"	2.47103702555383	1	2.47103702555383	0.721533833117702	1.34205036558251	1	1
"Gene82"	"Gene82"	4.45829249724866	1	4.45829249724866	0.464586041556473	1.33419474307147	1	1
"Gene84"	"Gene84"	7.13129071130846	129.582884268072	137.843476386264	0.65741131864987	0.668941543750245	1	1
"Gene85"	"Gene85"	1.23106553507819	1	1.23106553507819	1.39516686034255	1.60216390131165	1	1
"Gene90"	"Gene90"	3.73161628484336	1	3.73161628484336	2.6982000889846	0.726450683697274	1	1
"Gene94"	"Gene94"	4.01778901477283	1	4.01778901477283	2.32831328842444	1.25383336956393	1	1
"Gene99"	"Gene99"	3.36313699439469	1	3.36313699439469	0.612406655661225	1.47746735564715	1	1
"Gene101"	"Gene101"	3.96661480347322	1	3.96661480347322	1.89993346897679	1.20025191718999	1	1
"Gene102"	"Gene102"	3.91621770629195	1	3.91621770629195	0.863402269190758	0.944534388589404	1	1
"Gene104"	"Gene104"	3.92067261210386	1	3.92067261210386	0.959678663515732	1.27951171329729	1	1
"Gene108"	"Gene108"	3.97491794480226	1	3.97491794480226	4.49045704113836	0.439762129396793	1	1
"Gene112"	"Gene112"	2.17665941653235	1	2.17665941653235	1.10233972723436	2.10893189519647	1	0.889894149756334
"Gene122"	"Gene122"	1.86440879437179	1	1.86440879437179	1.41902433908766	0.882249439410432	1	1
"Gene123"	"Gene123"	8.25338616794961	1	8.25338616794961	3.60317210986814	0.598651204503775	1	1
"Gene125"	"Gene125"	4.07020853371156	1	4.07020853371156	1.12349859458522	0.658596595431549	1	1
"Gene131"	"Gene131"	1.6035670700049	1	1.6035670700049	1.20478217327253	1.45138973551676	1	1
"Gene137"	"Gene137"	7.48652575128694	1	7.48652575128694	0.576082098442073	2.1129045392997	1	1
"Gene138"	"Gene138"	20.0082910203928	1	20.0082910203928	2.32382298519906	0.978323307110553	1	0.818495938253726
"Gene139"	"Gene139"	1.61413358193063	1	1.61413358193063	1.03904860853857	1.43270519159029	1	1
"Gene149"	"Gene149"	1.09500096749275	1	1.09500096749275	1.80960070033685	2.12566997693139	1	1.07256780017336
"Gene153"	"Gene153"	9.2497808242461	1	9.2497808242461	0.488375641136487	0.737452767201618	1	1
"Gene155"	"Gene155"	2.33536419825516	1	2.33536419825516	1.27737505536128	0.738341332284334	1	1
"Gene157"	"Gene157"	2.60059186424531	1	2.60059186424531	1.84373729596121	0.644629793924403	1	1
"Gene159"	"Gene159"	2.03094503089631	1	2.03094503089631	1.45384779677678	0.612786648573775	1	1
"Gene162"	"Gene162"	1.46366342085876	1	1.46366342085876	1.28738702862392	4.82211898313746	1	1
"Gene163"	"Gene163"	1.47917298981466	1	1.47917298981466	1.34739353332102	1.53829586356741	1	1
"Gene164"	"Gene164"	3.31235675183273	1	3.31235675183273	0.726473533227241	0.686768063782058	0.823433254989701	1
"Gene168"	"Gene168"	5.84112291342879	1	5.84112291342879	2.02015708940381	2.62348324300986	1	1
"Gene171"	"Gene171"	2.44740707913532	26.590276513432	28.2853416435845	2.10273292610555	0.820433649066642	1	1
"Gene172"	"Gene172"	0.861808979690693	40.2230241803423	42.7871436502146	1.41544573213438	1.8134508383019	1	1
"Gene173"	"Gene173"	1.50279439024371	1	1.50279439024371	0.924675744679064	1.90453731228787	1	1
"Gene176"	"Gene176"	1.6651108514421	1	1.6651108514421	0.755475058834146	1.97964972764914	1	1
"Gene183"	"Gene183"	5.15367627514899	1	5.15367627514899	1.60586240749612	0.831383663653001	1	1
"Gene184"	"Gene184"	2.6177162258922	40.9200268205438	43.5285785049677	0.982262768545084	0.654885480188254	1.11142932536326	1
"Gene187"	"Gene187"	4.34757401555295	1	4.34757401555295	0.698733084167185	0.605806288870922	1.45677850652264	1
"Gene193"	"Gene193"	4.35095377018624	1	4.35095377018624	0.593197032413549	1.54279012614595	1	1
"Gene194"	"Gene194"	3.33400221496824	1	3.33400221496824	1.02227593707557	1.49607286840947	1	1
"Gene199"	"Gene199"	0.964365228413145	69.6600659639282	74.1007248912594	1.63688639806525	0.286953960314801	1	1
"Gene200"	"Gene200"	2.8842541307317	1	2.8842541307317	1.16089463147674	2.02332566671306	1	1
"Gene203"	"Gene203"	6.39850827508656	1	6.39850827508656	0.717705096554932	1.71622459992897	1	1
"Gene205"	"Gene205"	2.06609524069001	1	2.06609524069001	1.01901099979088	0.717203273350559	1	1
"Gene206"	"Gene206"	6.32758305197231	1	6.32758305197231	1.3710881728771	1.17644258877671	1	1
"Gene210"	"Gene210"	4.20656892968925	1	4.20656892968925	1.92120243227887	1.3161984516729	1	1
"Gene214"	"Gene214"	1.97085222120803	1	1.97085222120803	1.22420701096693	1.58673822958015	1	1
"Gene216"	"Gene216"	5.01844519234745	1	5.01844519234745	0.511123632699197	0.990165539225212	1	1
"Gene218"	"Gene218"	3.3084203454664	1	3.3084203454664	1.39426634617442	0.96458734229781	1	1
"Gene220"	"Gene220"	4.67325448991355	1	4.67325448991355	0.95534437784443	2.24941260080582	1	1
"Gene223"	"Gene223"	1.32767847685374	1	1.32767847685374	1.5404671432134	1.46484195081084	1.22440152670631	0.898885943618435
"Gene224"	"Gene224"	3.58646223538505	1	3.58646223538505	1.11319055156546	0.982060250324995	1	1
"Gene225"	"Gene225"	2.7151172248118	1	2.7151172248118	0.905166503949448	0.895610204110031	1	1
"Gene227"	"Gene227"	4.8170355703271	1	4.8170355703271	0.786229101109222	2.11305973373025	1	1
"Gene229"	"Gene229"	5.54279365426701	60.0052923740299	63.8304830852451	0.600606692435341	0.634232064416161	1	1
"Gene233"	"Gene233"	2.04203540478878	1	2.04203540478878	0.677039942162234	1.0824764004576	1	1
"Gene238"	"Gene238"	2.3938853731159	1	2.3938853731159	1.33647065582445	0.721923562643629	0.854615653178706	1
"Gene239"	"Gene239"	2.38388606851929	1	2.38388606851929	1.84351619337717	1.09013800062804	1	1
"Gene240"	"Gene240"	10.892262169086	1	10.892262169086	0.989707245858837	0.336121707093656	1	0.993061887847824
"Gene241"	"Gene241"	1.21411220009296	83.3650603067828	88.6793791228247	0.595413468023719	0.500937983490422	1	1
"Gene246"	"Gene246"	7.78544374784586	1	7.78544374784586	1.22345137148858	0.71405636610362	1	1
"Gene247"	"Gene247"	3.24575335243409	1	3.24575335243409	0.956968667363638	2.52417367404343	1	1
"Gene249"	"Gene249"	2.06213840683263	1	2.06213840683263	1.33000900060943	2.65823105338777	1	1
"Gene251"	"Gene251"	1.84883284274807	1	1.84883284274807	1.0635561639696	1.40066270466565	1	1.60687400792835
"Gene253"	"Gene253"	6.01235103137323	1	6.01235103137323	1.45841533614442	1.45665422413573	1	1
"Gene257"	"Gene257"	1.97853307951768	1	1.97853307951768	0.766552048848517	1.9712459759401	1	1
"Gene258"	"Gene258"	1.60430977669922	69.8761694717539	74.3306044694632	0.838763092380073	0.689738026433534	0.874486240147666	1
"Gene262"	"Gene262"	2.46985342176645	1	2.46985342176645	0.766976142820549	2.6315034261224	1	1
"Gene263"	"Gene263"	0.99128221513528	1	0.99128221513528	3.00492111059984	2.21324133073455	1	1
"Gene264"	"Gene264"	0.617935460954193	51.7161377058073	55.0129150690287	0.460684708778673	1.7032378792271	1.09960611660013	0.89623145835881
"Gene265"	"Gene265"	11.0195443191401	1	11.0195443191401	1.8845545766283	1.00756767847305	1	1
"Gene266"	"Gene266"	16.1136408482527	1	16.1136408482527	2.73632476142984	1.89641804218437	0.985970129927725	1
"Gene267"	"Gene267"	4.93750089607505	1	4.93750089607505	1.70441906375825	0.792178463790424	1	1
"Gene268"	"Gene268"	4.37885782669771	1	4.37885782669771	1.09074389736135	1.19842248584581	1	1
"Gene270"	"Gene270"	1.35567762318529	1	1.35567762318529	1.15325442519591	1.25412009596297	1	1
"Gene273"	"Gene273"	2.61711659448298	1	2.61711659448298	0.610264134830559	0.955002140155323	1	1.27132397708913
"Gene274"	"Gene274"	4.32935857341562	1	4.32935857341562	0.906694082206842	0.977932672663878	1	1
"Gene275"	"Gene275"	2.70095690033124	1	2.70095690033124	1.3762142668152	1.91642460522045	1	1
"Gene276"	"Gene276"	5.6528703931824	1	5.6528703931824	0.349877812522612	0.826078184090999	1	1
"Gene277"	"Gene277"	2.38846474695743	1	2.38846474695743	0.591100740537733	1.09918332879639	1	1
"Gene279"	"Gene279"	5.51110413578278	1	5.51110413578278	0.952210561226496	0.719615512638454	1	1
"Gene282"	"Gene282"	3.48647356592253	1	3.48647356592253	1.75425204096132	0.982416872243014	1	1
"Gene284"	"Gene284"	1.43715599655991	1	1.43715599655991	2.55346560537037	1.09811430508176	1	1
"Gene286"	"Gene286"	10.2629940464162	1	10.2629940464162	1.69407490910119	0.36374370590788	1	1
"Gene287"	"Gene287"	3.99125560385942	1	3.99125560385942	1.60573047695845	0.889324823712336	1	1
"Gene289"	"Gene289"	2.87520197446199	1	2.87520197446199	0.723978367131209	0.620223787202869	1	1
"Gene291"	"Gene291"	3.2396808708327	1	3.2396808708327	1.67871028524184	0.727353998639051	1	1
"Gene294"	"Gene294"	0.822887894419019	90.757228159856	96.542779607031	0.930325251340845	1.15360092815953	1	1
"Gene296"	"Gene296"	7.03213786070067	1	7.03213786070067	1.08298273046401	0.667784494551938	1	1
"Gene297"	"Gene297"	2.98493476158562	1	2.98493476158562	1.60434973887089	0.681773346710345	1	1
"Gene298"	"Gene298"	3.93797672773258	1	3.93797672773258	0.452280076914666	0.731310886370752	1	1
"Gene301"	"Gene301"	2.07206126181015	1	2.07206126181015	0.841088474569019	2.49739594178489	1	1.16323714895468
"Gene308"	"Gene308"	0.987000185387605	1	0.987000185387605	3.26147923879248	2.01788990405616	1.41559742248303	0.65136709579315
"Gene312"	"Gene312"	18.6970077936725	1	18.6970077936725	0.746933527840227	2.23831665039024	0.682257251481105	1
"Gene320"	"Gene320"	8.8033768009917	1	8.8033768009917	1.34247047907178	0.542012814267337	1	1
"Gene323"	"Gene323"	1.77476968399138	1	1.77476968399138	1.32204343896427	0.780469560299174	1	1.1646610867818
"Gene325"	"Gene325"	0.138495138500041	56.3235224942923	59.9140093754351	0.744583662178134	1.60850104670717	1	1
"Gene329"	"Gene329"	9.60116209210254	1	9.60116209210254	0.473356932760873	0.954191009183596	1	1
"Gene331"	"Gene331"	7.4678301152677	1	7.4678301152677	0.624872439358865	2.28174426736458	1	1
"Gene334"	"Gene334"	4.34291869121291	1	4.34291869121291	0.696044516312274	0.699193044689535	1	1
"Gene335"	"Gene335"	0.976756067200208	44.2235927175796	47.0427386526649	0.412435346245486	1.3070422585902	1	1
"Gene338"	"Gene338"	4.97838293672463	1	4.97838293672463	1.0163661027385	0.448853653455593	1	1
"Gene345"	"Gene345"	7.23582219756572	1	7.23582219756572	1.15929916684946	0.528484801117711	1	1
"Gene346"	"Gene346"	6.421875238144	1	6.421875238144	0.896218312548653	1.38817412081171	0.916559634315723	1
"Gene347"	"Gene347"	2.8281158087138	1	2.8281158087138	1.11423607622107	1.47015394488898	1	1
"Gene351"	"Gene351"	5.89588859255824	1	5.89588859255824	1.0821198030266	2.35854189605594	1	1
"Gene352"	"Gene352"	4.74482789469069	1	4.74482789469069	1.57863701267956	2.59905193901016	1	1
"Gene354"	"Gene354"	3.42749885593767	1	3.42749885593767	0.537620546253467	2.4140520017569	1	1.10035603299932
"Gene362"	"Gene362"	2.59023303087752	1	2.59023303087752	0.708762477153005	0.397830156490785	1	1
"Gene365"	"Gene365"	3.81584874848545	1	3.81584874848545	1.45551719143847	0.69238531701296	1	1
"Gene367"	"Gene367"	2.20937193143733	1	2.20937193143733	1.19472077613015	0.787432815370521	1	1
"Gene372"	"Gene372"	10.8163247886588	46.4218928156212	49.3811750084065	2.28969345345928	0.731443341112304	1	1
"Gene375"	"Gene375"	0.142606569701191	108.117998972703	115.010257122329	0.407375687280265	1.61133919561927	0.682385537971268	1
"Gene377"	"Gene377"	4.77336787869031	1	4.77336787869031	2.00612445070106	0.474029949495036	1.26283211660769	1
"Gene378"	"Gene378"	3.37589820775088	1	3.37589820775088	0.541335787562743	1.11376601776884	1	1
"Gene390"	"Gene390"	9.14294592579466	1	9.14294592579466	0.373945658540598	3.39039417269707	1	1
"Gene391"	"Gene391"	5.30653110606572	1	5.30653110606572	0.571558191929898	1.66829500193851	1	1
"Gene397"	"Gene397"	7.30433640766975	1	7.30433640766975	0.71626322324947	3.42630474215336	1	1
"Gene400"	"Gene400"	2.77361415528728	1	2.77361415528728	1.26059719529944	1.07800355830674	1	1
"Gene403"	"Gene403"	4.68369098867481	1	4.68369098867481	1.57642158054013	0.783924164361895	1	1
"Gene404"	"Gene404"	0.451402661865164	46.9583683910391	49.9518495903902	2.20896474118456	0.737132262391339	1	1
"Gene406"	"Gene406"	9.65799049890747	1	9.65799049890747	2.92631637397093	0.728828530842189	1	1
"Gene407"	"Gene407"	2.24839336463795	67.3367588547976	71.6293126330405	1.06544815162734	0.479005886240411	1	1
"Gene408"	"Gene408"	3.0357830908445	1	3.0357830908445	1.69697671602766	1.54641122084737	1	1
"Gene409"	"Gene409"	0.492012572074437	27.7829381208989	29.5540325131716	0.613754640374319	0.568392575811793	1	1
"Gene410"	"Gene410"	0.0566384417177386	108.926807256004	115.87062495663	0.763454739244242	1.71994445185569	1	0.503845638868588
"Gene411"	"Gene411"	5.55597600127676	1	5.55597600127676	1.85216944680197	0.536302159239044	1	1
"Gene421"	"Gene421"	5.10193874379777	1	5.10193874379777	0.519885206157218	0.953029481217494	1	1
"Gene423"	"Gene423"	1.91866696503753	1	1.91866696503753	0.430680921118343	1.45340637514129	1	1
"Gene425"	"Gene425"	1.97739152802548	1	1.97739152802548	1.73348622019402	1.90909826862597	1	1
"Gene426"	"Gene426"	1.09561239493437	1	1.09561239493437	2.95965065682693	1.19509030356083	1	1
"Gene427"	"Gene427"	4.00003921631706	1	4.00003921631706	1.80407115999083	1.35297596324332	1	1
"Gene429"	"Gene429"	3.15739480333354	1	3.15739480333354	0.691844473175389	1.48514573062226	1	1
"Gene431"	"Gene431"	2.04002347130861	1	2.04002347130861	2.65161843177761	1.00615780569822	1	1
"Gene435"	"Gene435"	3.07298156024581	1	3.07298156024581	0.489064977286211	0.569832287022004	1	1
"Gene436"	"Gene436"	5.84057300759689	1	5.84057300759689	1.28974224170355	3.03372980170578	1.28181745886958	1
"Gene438"	"Gene438"	4.74529659416866	1	4.74529659416866	6.14579225401713	1.83642102028153	0.985132032928548	1.03503518313302
"Gene440"	"Gene440"	4.72190822402475	1	4.72190822402475	1.03894892719158	1.17381773616315	1	1
"Gene441"	"Gene441"	5.80765862769886	1	5.80765862769886	1.63636754997614	1.86654426305808	1	1
"Gene442"	"Gene442"	1.72595698380812	1	1.72595698380812	1.16994821246053	3.18703035191651	1	1
"Gene443"	"Gene443"	9.05224621261892	1	9.05224621261892	0.512528076564969	0.75536156536042	1	1
"Gene445"	"Gene445"	5.84685387087342	1	5.84685387087342	1.01133298652564	0.410544091333153	1.19451099825698	1
"Gene446"	"Gene446"	1.62554341688684	1	1.62554341688684	2.19076840569863	1.66030906472208	1	1
"Gene447"	"Gene447"	4.43647700668021	1	4.43647700668021	1.14277153617999	0.948613673416986	1	1
"Gene451"	"Gene451"	6.0832638434183	1	6.0832638434183	0.489676605793085	0.947217622077969	1	1
"Gene454"	"Gene454"	1.18169861672605	131.298128670207	139.668063426271	0.22611975252	0.587156628693096	1	1
"Gene455"	"Gene455"	4.18996462059276	1	4.18996462059276	1.16816539588946	1.2968492529791	1	1
"Gene457"	"Gene457"	2.50649882302715	1	2.50649882302715	0.764065168127572	0.740063828793599	1	1
"Gene459"	"Gene459"	0.962387423534722	1	0.962387423534722	1.59565963758517	2.13742632197472	1	1
"Gene464"	"Gene464"	7.42775913557723	1	7.42775913557723	0.896783733613505	2.08230251855716	1	1
"Gene467"	"Gene467"	1.88059898007989	1	1.88059898007989	1.09009361224201	0.810884932218593	1	1
"Gene469"	"Gene469"	4.93783749172493	1	4.93783749172493	0.86316958538735	1.0573693174662	1	1
"Gene470"	"Gene470"	9.34190286447346	1	9.34190286447346	0.822693457309909	1.65338567657378	1	1
"Gene482"	"Gene482"	4.88009002016941	1	4.88009002016941	0.864210368464297	0.403191084968945	1	1
"Gene483"	"Gene483"	6.95134382878068	1	6.95134382878068	0.409509601484504	1.24030892036824	1	1.33415871744456
"Gene485"	"Gene485"	6.44100323626592	1	6.44100323626592	1.56931070906467	0.949102718868115	1	1
"Gene488"	"Gene488"	1.37277817903017	1	1.37277817903017	1.19106084849626	1.89648488894324	1	1.16980256394272
"Gene490"	"Gene490"	2.83337693552681	1	2.83337693552681	0.76693340460145	2.50032421688408	1	1
"Gene491"	"Gene491"	2.6133653040175	1	2.6133653040175	1.20316785834616	1.14178917290119	1	1.35741411441589
"Gene492"	"Gene492"	10.0470588035101	1	10.0470588035101	1.56238676864025	0.634414524102642	1	1
"Gene495"	"Gene495"	5.83315988887076	1	5.83315988887076	0.903225647394172	0.607019626831562	1	1
"Gene497"	"Gene497"	1.97865896431445	1	1.97865896431445	0.78746997336063	1.28169556706814	1	1
"Gene500"	"Gene500"	3.85088362378432	1	3.85088362378432	1.40173721070111	2.13020239249993	1	1
"Gene502"	"Gene502"	8.29442606245174	1	8.29442606245174	1.17195353637086	0.684902045594349	1	1
"Gene506"	"Gene506"	9.63125850624911	1	9.63125850624911	2.37867428970724	0.418179225419741	1	1
"Gene507"	"Gene507"	1.5499237151028	1	1.5499237151028	1.46646131187457	1.96497211231027	1	1
"Gene508"	"Gene508"	1.70171919475332	1	1.70171919475332	1.24982269541181	1.74839030535516	1	1
"Gene510"	"Gene510"	1.36565332407533	1	1.36565332407533	1.02886740270945	1.1690418226554	1.09310745311806	1
"Gene511"	"Gene511"	2.48899404968237	1	2.48899404968237	1.73137308979138	0.800753659365529	1	1
"Gene514"	"Gene514"	10.5201047589842	1	10.5201047589842	1.26521554737904	1.69600135663098	1	1
"Gene515"	"Gene515"	7.37255033254788	1	7.37255033254788	0.717113205407224	0.363922806228164	1	1
"Gene517"	"Gene517"	0.47620210578054	77.8139611928924	82.7744110095946	0.727367750478683	1.39680364893206	0.514323779550998	1
"Gene520"	"Gene520"	5.01905374483788	1	5.01905374483788	2.97399661149946	1.12177333299361	1	1
"Gene524"	"Gene524"	7.79966248722933	1	7.79966248722933	1.21337168104574	2.34262195767398	1	1
"Gene526"	"Gene526"	7.12388688457365	1	7.12388688457365	1.91017824640937	0.468517588642619	1	1
"Gene527"	"Gene527"	6.49954431519416	1	6.49954431519416	0.767541373432499	0.38360654964376	1	1
"Gene529"	"Gene529"	6.96363387112928	1	6.96363387112928	0.880829817503374	1.34079514635023	1	1
"Gene531"	"Gene531"	3.82743528438225	41.0951000964883	43.7148122743025	1.04516808599226	1.31765981130859	1	1
"Gene534"	"Gene534"	4.25028856704103	1	4.25028856704103	1.19136041611627	0.669811803263096	1.20688629731402	1
"Gene535"	"Gene535"	6.57560355830301	1	6.57560355830301	0.78925051882819	1.79826741074437	0.724767887003956	1.27885147904681
"Gene536"	"Gene536"	0.266698239524685	38.8096005799611	41.2836177502981	0.599035766912868	1.06721216500336	1	1
"Gene538"	"Gene538"	9.50072654556345	1	9.50072654556345	1.43889248211997	0.434560885384494	1	1
"Gene540"	"Gene540"	1.80235401068007	1	1.80235401068007	1.60543472599295	0.919830143708543	1	1.45588099778276
"Gene542"	"Gene542"	1.74881538338824	1	1.74881538338824	1.53455543406152	3.09206327899179	1	1
"Gene543"	"Gene543"	3.13903078808751	1	3.13903078808751	0.957308149184767	0.506000651761989	1	1.00695536473943
"Gene547"	"Gene547"	1.95815465227138	1	1.95815465227138	1.02747979016546	1.93223313551365	1	1
"Gene548"	"Gene548"	3.03266528441609	1	3.03266528441609	1.2615022153981	0.686181298149458	1.11676309137376	1
"Gene556"	"Gene556"	3.04932745187119	1	3.04932745187119	0.477359751613301	2.3956457220778	1	1
"Gene557"	"Gene557"	5.87233782339559	1	5.87233782339559	0.832900554922197	0.652574277636063	1	1
"Gene559"	"Gene559"	4.17619848977445	1	4.17619848977445	1.7196677384959	0.899301486717231	1	1
"Gene561"	"Gene561"	10.0995646477616	1	10.0995646477616	2.00726652553706	1.96658864166065	1	1
"Gene565"	"Gene565"	1.13787985940469	1	1.13787985940469	1.4553365835164	1.2144748267694	1	1
"Gene568"	"Gene568"	10.0815240665729	1	10.0815240665729	1.90259772097577	0.406052256942022	1	1
"Gene577"	"Gene577"	6.06134307208404	1	6.06134307208404	0.813195396025018	1.26535136496497	1	1
"Gene579"	"Gene579"	3.36584292829619	1	3.36584292829619	1.30754101076846	1.02827081332341	1	1
"Gene581"	"Gene581"	3.62487960487034	1	3.62487960487034	0.396463647210648	0.514334087263074	1	1
"Gene582"	"Gene582"	4.15156987971043	36.9374353888485	39.2921066045942	0.783951516056403	1.04852402490702	1	1
"Gene585"	"Gene585"	3.44926775410479	1	3.44926775410479	0.533718740709238	0.69306250902166	1	1
"Gene586"	"Gene586"	2.10690077781401	1	2.10690077781401	1.4606446809898	3.59815969894162	1	1
"Gene589"	"Gene589"	2.12493024790647	1	2.12493024790647	0.894168570858642	1.38307039878323	1	1
"Gene590"	"Gene590"	1.30121185689727	127.52417986518	135.653534610008	1.1033318522045	0.999147478316494	1	1
"Gene592"	"Gene592"	0.0315623219160325	54.2730487547917	57.7328229472429	1.22727703088426	1.24240223170026	1	1
"Gene593"	"Gene593"	4.44736513648376	1	4.44736513648376	0.987582941089921	0.566659560213062	1	1
"Gene596"	"Gene596"	9.89175781703926	1	9.89175781703926	0.492543888982012	0.584173576095105	1	1
"Gene599"	"Gene599"	0.0607867484267415	88.0607443982282	93.6744015969154	1.966665071044	0.970955414012222	1	1
"Gene601"	"Gene601"	1.59435260485399	25.2711902145507	26.8821668175393	3.28000081283535	0.968145375400656	1	1
"Gene603"	"Gene603"	0.956732168122643	1	0.956732168122643	1.69075311716673	1.51502687346931	1	1
"Gene606"	"Gene606"	1.91464545549833	1	1.91464545549833	0.615472722686825	1.47411825620902	1	1
"Gene608"	"Gene608"	7.19088577876903	1	7.19088577876903	0.7200729441191	2.0171402252866	1	1
"Gene609"	"Gene609"	11.9145715454653	1	11.9145715454653	1.51207423658272	0.463745868246096	1	1
"Gene610"	"Gene610"	2.98432919748143	1	2.98432919748143	0.94252610800599	0.949831028573909	1	1
"Gene611"	"Gene611"	0.208629891656596	100.935321337312	107.369701345102	1.61245639249449	1.231656952938	1	1
"Gene616"	"Gene616"	4.66612982592396	28.1069866294494	29.8987383220343	1.77148015607436	2.096746251803	1	0.833005227892765
"Gene619"	"Gene619"	4.68847546928654	1	4.68847546928654	0.814861770100694	1.9715907494964	1	1
"Gene622"	"Gene622"	11.1675154691543	1	11.1675154691543	1.87423458494266	0.287984477805553	1	1
"Gene623"	"Gene623"	3.70367503506329	1	3.70367503506329	1.03990487885341	0.538454147558862	1	1.20681443671496
"Gene628"	"Gene628"	4.52860440344835	1	4.52860440344835	1.18792245098314	0.558671228301659	1	1
"Gene629"	"Gene629"	2.93656879157656	1	2.93656879157656	0.717523627734553	0.512765574505364	1	1
"Gene630"	"Gene630"	4.08931772527329	1	4.08931772527329	1.09025550346647	0.550316526189985	0.817893869330445	1
"Gene632"	"Gene632"	3.27006231627004	1	3.27006231627004	0.861953246550136	0.678376378424115	1	1
"Gene633"	"Gene633"	7.76640952907119	1	7.76640952907119	1.41690777124481	0.48934798446342	1	1
"Gene634"	"Gene634"	2.08733428110942	1	2.08733428110942	3.96365361615098	1.65923032613074	1	1
"Gene638"	"Gene638"	2.17324891321875	1	2.17324891321875	1.32846694321997	1.31925913738192	1	1
"Gene641"	"Gene641"	2.63106790315545	1	2.63106790315545	2.05710049290968	1.13289936412959	1	1
"Gene648"	"Gene648"	2.19073257645248	1	2.19073257645248	1.49536245151628	1.84848253532901	1	1
"Gene652"	"Gene652"	4.87523567065892	1	4.87523567065892	0.465489966267489	0.784796683798334	1	1
"Gene653"	"Gene653"	4.71235951240019	1	4.71235951240019	0.9363807009374	1.24488900669527	0.915692071498555	1
"Gene655"	"Gene655"	5.91624745858979	1	5.91624745858979	1.50124136820116	1.63803497206255	1	1
"Gene656"	"Gene656"	3.50220255027472	1	3.50220255027472	0.520957714357463	1.40635415453706	1	1
"Gene657"	"Gene657"	5.44490926663167	1	5.44490926663167	0.575860820780621	2.26255230442152	1	1
"Gene658"	"Gene658"	2.78617261754695	1	2.78617261754695	0.499222241539279	0.925884048852129	1	1
