"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell171"	"Cell171"	"Batch1"	"Group1"	43627.4192710792
"Cell172"	"Cell172"	"Batch1"	"Group1"	69051.5935217376
"Cell173"	"Cell173"	"Batch1"	"Group2"	58913.5552766304
"Cell174"	"Cell174"	"Batch1"	"Group1"	63458.4682696574
"Cell175"	"Cell175"	"Batch1"	"Group1"	87720.7258691131
"Cell176"	"Cell176"	"Batch1"	"Group1"	61372.2935697855
"Cell177"	"Cell177"	"Batch1"	"Group1"	43305.0405435423
"Cell178"	"Cell178"	"Batch1"	"Group1"	53708.9107342028
"Cell179"	"Cell179"	"Batch1"	"Group1"	62487.5958247464
"Cell180"	"Cell180"	"Batch1"	"Group1"	62438.5223263557
"Cell181"	"Cell181"	"Batch1"	"Group2"	66556.142512016
"Cell182"	"Cell182"	"Batch1"	"Group1"	43341.327339844
"Cell183"	"Cell183"	"Batch1"	"Group1"	57880.529151012
"Cell184"	"Cell184"	"Batch1"	"Group2"	61179.8639100521
"Cell185"	"Cell185"	"Batch1"	"Group1"	54674.8626731202
"Cell186"	"Cell186"	"Batch1"	"Group1"	56636.1990538195
"Cell187"	"Cell187"	"Batch1"	"Group1"	56649.5014395353
"Cell188"	"Cell188"	"Batch1"	"Group1"	46147.3327382865
"Cell189"	"Cell189"	"Batch1"	"Group1"	50202.4803518808
"Cell190"	"Cell190"	"Batch1"	"Group2"	37819.3920428695
"Cell191"	"Cell191"	"Batch1"	"Group2"	43725.8076684648
"Cell192"	"Cell192"	"Batch1"	"Group1"	62631.3478259097
"Cell193"	"Cell193"	"Batch1"	"Group1"	56998.8998892911
"Cell194"	"Cell194"	"Batch1"	"Group1"	60708.2616045555
"Cell195"	"Cell195"	"Batch1"	"Group1"	65437.8559102745
"Cell196"	"Cell196"	"Batch1"	"Group1"	69334.5925481053
"Cell197"	"Cell197"	"Batch1"	"Group1"	54977.1414606357
"Cell198"	"Cell198"	"Batch1"	"Group2"	61432.7488959848
"Cell199"	"Cell199"	"Batch1"	"Group1"	62880.7396085586
"Cell200"	"Cell200"	"Batch1"	"Group1"	52612.0657845923
"Cell201"	"Cell201"	"Batch1"	"Group1"	71227.6308585632
"Cell202"	"Cell202"	"Batch1"	"Group1"	57996.1339658915
"Cell203"	"Cell203"	"Batch1"	"Group1"	68925.4652113402
"Cell204"	"Cell204"	"Batch1"	"Group1"	65144.5373661844
"Cell205"	"Cell205"	"Batch1"	"Group2"	57237.4475904544
"Cell206"	"Cell206"	"Batch1"	"Group1"	63007.7710992047
"Cell207"	"Cell207"	"Batch1"	"Group1"	71971.2071618469
"Cell208"	"Cell208"	"Batch1"	"Group1"	60316.6966677407
"Cell209"	"Cell209"	"Batch1"	"Group1"	68662.218922956
"Cell210"	"Cell210"	"Batch1"	"Group2"	76994.6596035179
"Cell211"	"Cell211"	"Batch1"	"Group2"	48103.2706237412
"Cell212"	"Cell212"	"Batch1"	"Group1"	69733.9026321474
"Cell213"	"Cell213"	"Batch1"	"Group2"	88953.5403944091
"Cell214"	"Cell214"	"Batch1"	"Group2"	44661.6198223754
"Cell215"	"Cell215"	"Batch1"	"Group1"	71413.120894293
"Cell216"	"Cell216"	"Batch1"	"Group2"	65267.4589719723
"Cell217"	"Cell217"	"Batch1"	"Group2"	65309.8080911095
"Cell218"	"Cell218"	"Batch1"	"Group1"	54992.718378188
"Cell219"	"Cell219"	"Batch1"	"Group1"	68199.9597818232
"Cell220"	"Cell220"	"Batch1"	"Group1"	63942.5040084722
"Cell221"	"Cell221"	"Batch1"	"Group1"	57099.3856187336
"Cell222"	"Cell222"	"Batch1"	"Group1"	60153.3516934093
"Cell223"	"Cell223"	"Batch1"	"Group1"	59127.7419304914
"Cell224"	"Cell224"	"Batch1"	"Group2"	60266.0082757027
"Cell225"	"Cell225"	"Batch1"	"Group2"	83849.1391944344
"Cell226"	"Cell226"	"Batch1"	"Group1"	43899.7957884587
"Cell227"	"Cell227"	"Batch1"	"Group2"	65689.476060061
"Cell228"	"Cell228"	"Batch1"	"Group1"	52351.3430125339
"Cell229"	"Cell229"	"Batch1"	"Group1"	52851.5280702618
"Cell230"	"Cell230"	"Batch1"	"Group1"	63452.9652138547
"Cell231"	"Cell231"	"Batch1"	"Group1"	91941.3110200602
"Cell232"	"Cell232"	"Batch1"	"Group1"	76918.8551886802
"Cell233"	"Cell233"	"Batch1"	"Group1"	80410.3453194643
"Cell234"	"Cell234"	"Batch1"	"Group1"	91832.9159126573
"Cell235"	"Cell235"	"Batch1"	"Group1"	46162.2111418642
"Cell236"	"Cell236"	"Batch1"	"Group1"	49221.6846811614
"Cell237"	"Cell237"	"Batch1"	"Group2"	50381.1970028493
"Cell238"	"Cell238"	"Batch1"	"Group2"	75618.1944014358
"Cell239"	"Cell239"	"Batch1"	"Group1"	69053.6863556452
"Cell240"	"Cell240"	"Batch1"	"Group1"	58230.5266860263
"Cell241"	"Cell241"	"Batch1"	"Group2"	58220.7331356649
"Cell242"	"Cell242"	"Batch1"	"Group1"	81545.0423599239
"Cell243"	"Cell243"	"Batch1"	"Group1"	52501.0245480076
"Cell244"	"Cell244"	"Batch1"	"Group1"	82046.0011879521
"Cell245"	"Cell245"	"Batch1"	"Group1"	67181.0158485478
"Cell246"	"Cell246"	"Batch1"	"Group2"	70839.7712500279
"Cell247"	"Cell247"	"Batch1"	"Group1"	48300.7170787399
"Cell248"	"Cell248"	"Batch1"	"Group1"	57165.8103907063
"Cell249"	"Cell249"	"Batch1"	"Group1"	69920.1732500699
"Cell250"	"Cell250"	"Batch1"	"Group1"	42114.3742245921
"Cell251"	"Cell251"	"Batch1"	"Group1"	46766.3860324996
"Cell252"	"Cell252"	"Batch1"	"Group1"	65764.2556381166
"Cell253"	"Cell253"	"Batch1"	"Group1"	51824.7984013366
"Cell254"	"Cell254"	"Batch1"	"Group1"	47883.2622958252
"Cell255"	"Cell255"	"Batch1"	"Group1"	69831.7126025818
"Cell256"	"Cell256"	"Batch1"	"Group1"	67820.5818948358
"Cell257"	"Cell257"	"Batch1"	"Group1"	56933.2641725597
"Cell258"	"Cell258"	"Batch1"	"Group1"	58004.0355885468
"Cell259"	"Cell259"	"Batch1"	"Group1"	50283.4235340344
"Cell260"	"Cell260"	"Batch1"	"Group1"	66415.4166412374
"Cell261"	"Cell261"	"Batch1"	"Group1"	53195.2288084038
"Cell262"	"Cell262"	"Batch1"	"Group1"	70143.7726422148
"Cell263"	"Cell263"	"Batch1"	"Group1"	54010.8401726769
"Cell264"	"Cell264"	"Batch1"	"Group2"	51338.7610108108
"Cell265"	"Cell265"	"Batch1"	"Group2"	63660.0224929942
"Cell266"	"Cell266"	"Batch1"	"Group2"	54623.4705065433
"Cell267"	"Cell267"	"Batch1"	"Group2"	51880.742058113
"Cell268"	"Cell268"	"Batch1"	"Group1"	100609.172935102
"Cell269"	"Cell269"	"Batch1"	"Group1"	73032.611914802
"Cell270"	"Cell270"	"Batch1"	"Group1"	75956.8393217295
"Cell271"	"Cell271"	"Batch1"	"Group2"	89822.1374649954
"Cell272"	"Cell272"	"Batch1"	"Group1"	68243.9319734176
"Cell273"	"Cell273"	"Batch1"	"Group1"	50050.1842872273
"Cell274"	"Cell274"	"Batch1"	"Group2"	64411.3225538702
"Cell275"	"Cell275"	"Batch1"	"Group2"	62451.5761826695
"Cell276"	"Cell276"	"Batch1"	"Group1"	69403.0067345901
"Cell277"	"Cell277"	"Batch1"	"Group1"	52487.2120669519
"Cell278"	"Cell278"	"Batch1"	"Group2"	70830.6220112666
"Cell279"	"Cell279"	"Batch1"	"Group1"	61828.4988724736
"Cell280"	"Cell280"	"Batch1"	"Group1"	79004.4029768957
"Cell281"	"Cell281"	"Batch1"	"Group1"	58791.99176407
"Cell282"	"Cell282"	"Batch1"	"Group2"	108369.014896111
"Cell283"	"Cell283"	"Batch1"	"Group2"	72980.3956093897
"Cell284"	"Cell284"	"Batch1"	"Group1"	64286.369804029
"Cell285"	"Cell285"	"Batch1"	"Group1"	49744.4005707898
"Cell286"	"Cell286"	"Batch1"	"Group1"	68663.1205699806
"Cell287"	"Cell287"	"Batch1"	"Group1"	85592.0933153275
"Cell288"	"Cell288"	"Batch1"	"Group2"	56216.3273514558
"Cell289"	"Cell289"	"Batch1"	"Group1"	54123.5259384441
"Cell290"	"Cell290"	"Batch1"	"Group1"	67620.999864
"Cell291"	"Cell291"	"Batch1"	"Group2"	82474.5380121501
"Cell292"	"Cell292"	"Batch1"	"Group1"	44868.0113590689
"Cell293"	"Cell293"	"Batch1"	"Group1"	52881.9527524498
"Cell294"	"Cell294"	"Batch1"	"Group1"	87945.7586227285
"Cell295"	"Cell295"	"Batch1"	"Group1"	57672.1707800435
"Cell296"	"Cell296"	"Batch1"	"Group2"	48771.2399478328
"Cell297"	"Cell297"	"Batch1"	"Group2"	61089.0166525792
"Cell298"	"Cell298"	"Batch1"	"Group2"	51994.640724862
"Cell299"	"Cell299"	"Batch1"	"Group1"	72401.6420838128
"Cell300"	"Cell300"	"Batch1"	"Group1"	58043.6318625928
"Cell301"	"Cell301"	"Batch2"	"Group2"	71095.2206113403
"Cell302"	"Cell302"	"Batch2"	"Group1"	77552.9384761379
"Cell303"	"Cell303"	"Batch2"	"Group1"	50367.5766744847
"Cell304"	"Cell304"	"Batch2"	"Group2"	60198.2381956128
"Cell305"	"Cell305"	"Batch2"	"Group2"	75037.0181644668
"Cell306"	"Cell306"	"Batch2"	"Group2"	69437.1049466838
"Cell307"	"Cell307"	"Batch2"	"Group2"	50771.242571609
"Cell308"	"Cell308"	"Batch2"	"Group1"	58231.1454778621
"Cell309"	"Cell309"	"Batch2"	"Group1"	52573.9687019228
"Cell310"	"Cell310"	"Batch2"	"Group1"	43442.1163363645
"Cell311"	"Cell311"	"Batch2"	"Group2"	60398.7708835048
"Cell312"	"Cell312"	"Batch2"	"Group2"	44199.3212961789
"Cell313"	"Cell313"	"Batch2"	"Group1"	87173.6077042114
"Cell314"	"Cell314"	"Batch2"	"Group1"	49150.6637282485
"Cell315"	"Cell315"	"Batch2"	"Group1"	57021.0321411599
"Cell316"	"Cell316"	"Batch2"	"Group1"	35516.3697366894
"Cell317"	"Cell317"	"Batch2"	"Group2"	52135.4717540616
"Cell318"	"Cell318"	"Batch2"	"Group2"	82695.5348491819
"Cell319"	"Cell319"	"Batch2"	"Group1"	65352.4113142157
"Cell320"	"Cell320"	"Batch2"	"Group1"	64406.668981629
"Cell321"	"Cell321"	"Batch2"	"Group1"	82952.0591405415
"Cell322"	"Cell322"	"Batch2"	"Group1"	67768.4638494371
"Cell323"	"Cell323"	"Batch2"	"Group1"	67018.2653515485
"Cell324"	"Cell324"	"Batch2"	"Group1"	50487.1088039727
"Cell325"	"Cell325"	"Batch2"	"Group1"	69238.0600288703
"Cell326"	"Cell326"	"Batch2"	"Group2"	59532.450728233
"Cell327"	"Cell327"	"Batch2"	"Group1"	56337.7134296326
"Cell328"	"Cell328"	"Batch2"	"Group2"	38487.3228785006
"Cell329"	"Cell329"	"Batch2"	"Group1"	81658.6370335815
"Cell330"	"Cell330"	"Batch2"	"Group2"	65914.8699411471
"Cell331"	"Cell331"	"Batch2"	"Group1"	61132.8383726682
"Cell332"	"Cell332"	"Batch2"	"Group1"	67550.7326675282
"Cell333"	"Cell333"	"Batch2"	"Group2"	52460.0368875825
"Cell334"	"Cell334"	"Batch2"	"Group1"	48247.582318773
"Cell335"	"Cell335"	"Batch2"	"Group1"	77839.4799803073
"Cell336"	"Cell336"	"Batch2"	"Group1"	61911.5105459407
"Cell337"	"Cell337"	"Batch2"	"Group1"	68972.0693646414
"Cell338"	"Cell338"	"Batch2"	"Group1"	58446.0824035254
"Cell339"	"Cell339"	"Batch2"	"Group1"	45139.0319899189
"Cell340"	"Cell340"	"Batch2"	"Group1"	56720.3270318853
"Cell341"	"Cell341"	"Batch2"	"Group1"	103310.183572981
"Cell342"	"Cell342"	"Batch2"	"Group2"	49674.853652434
"Cell343"	"Cell343"	"Batch2"	"Group1"	69942.2651722773
"Cell344"	"Cell344"	"Batch2"	"Group1"	64807.5219822514
"Cell345"	"Cell345"	"Batch2"	"Group2"	62777.2069346281
"Cell346"	"Cell346"	"Batch2"	"Group2"	52720.8098711694
"Cell347"	"Cell347"	"Batch2"	"Group1"	81928.2227997368
"Cell348"	"Cell348"	"Batch2"	"Group2"	68620.4007998842
"Cell349"	"Cell349"	"Batch2"	"Group1"	57624.333039987
"Cell350"	"Cell350"	"Batch2"	"Group1"	52563.2664457651
"Cell351"	"Cell351"	"Batch2"	"Group1"	44585.7795693754
"Cell352"	"Cell352"	"Batch2"	"Group1"	63128.528316904
"Cell353"	"Cell353"	"Batch2"	"Group2"	68351.3482102918
"Cell354"	"Cell354"	"Batch2"	"Group1"	60342.1577768974
"Cell355"	"Cell355"	"Batch2"	"Group1"	64294.7195401593
"Cell356"	"Cell356"	"Batch2"	"Group1"	64518.7991632586
"Cell357"	"Cell357"	"Batch2"	"Group1"	58490.1587551193
"Cell358"	"Cell358"	"Batch2"	"Group1"	46577.6887519133
"Cell359"	"Cell359"	"Batch2"	"Group1"	52595.2437945224
"Cell360"	"Cell360"	"Batch2"	"Group1"	46742.8705791472
"Cell361"	"Cell361"	"Batch2"	"Group1"	65112.1825588182
"Cell362"	"Cell362"	"Batch2"	"Group2"	48511.1934280885
"Cell363"	"Cell363"	"Batch2"	"Group1"	42182.5767600784
"Cell364"	"Cell364"	"Batch2"	"Group1"	63037.1300796993
"Cell365"	"Cell365"	"Batch2"	"Group1"	47834.2398532399
"Cell366"	"Cell366"	"Batch2"	"Group2"	65565.5954067852
"Cell367"	"Cell367"	"Batch2"	"Group2"	62154.7863951417
"Cell368"	"Cell368"	"Batch2"	"Group1"	49372.1963016006
"Cell369"	"Cell369"	"Batch2"	"Group1"	60764.9262359995
"Cell370"	"Cell370"	"Batch2"	"Group1"	73039.0491216267
"Cell371"	"Cell371"	"Batch2"	"Group2"	59890.3220017416
"Cell372"	"Cell372"	"Batch2"	"Group1"	55117.9972947746
"Cell373"	"Cell373"	"Batch2"	"Group1"	49978.2640440231
"Cell374"	"Cell374"	"Batch2"	"Group1"	68486.8922583283
"Cell375"	"Cell375"	"Batch2"	"Group2"	45504.5475915447
"Cell376"	"Cell376"	"Batch2"	"Group2"	70826.1661056107
"Cell377"	"Cell377"	"Batch2"	"Group2"	60255.0607822407
"Cell378"	"Cell378"	"Batch2"	"Group1"	62648.3038379285
"Cell379"	"Cell379"	"Batch2"	"Group1"	63343.9199580879
"Cell380"	"Cell380"	"Batch2"	"Group1"	52992.0260309647
"Cell381"	"Cell381"	"Batch2"	"Group1"	55149.9302101974
"Cell382"	"Cell382"	"Batch2"	"Group1"	53556.2119084309
"Cell383"	"Cell383"	"Batch2"	"Group1"	81399.5888158324
"Cell384"	"Cell384"	"Batch2"	"Group2"	55905.4140364593
"Cell385"	"Cell385"	"Batch2"	"Group1"	47750.8595031752
"Cell386"	"Cell386"	"Batch2"	"Group2"	69867.2308091903
"Cell387"	"Cell387"	"Batch2"	"Group1"	47585.8989877954
"Cell388"	"Cell388"	"Batch2"	"Group1"	59687.6834688348
"Cell389"	"Cell389"	"Batch2"	"Group1"	102362.550551833
"Cell390"	"Cell390"	"Batch2"	"Group1"	59115.5347167668
"Cell391"	"Cell391"	"Batch2"	"Group2"	55643.0344344108
"Cell392"	"Cell392"	"Batch2"	"Group1"	69789.1764772589
"Cell393"	"Cell393"	"Batch2"	"Group1"	70572.7116781853
"Cell394"	"Cell394"	"Batch2"	"Group2"	85807.1242843572
"Cell395"	"Cell395"	"Batch2"	"Group1"	74046.9851248934
"Cell396"	"Cell396"	"Batch2"	"Group1"	58840.3480387413
"Cell397"	"Cell397"	"Batch2"	"Group1"	43108.1249314036
"Cell398"	"Cell398"	"Batch2"	"Group1"	59103.9608721781
"Cell399"	"Cell399"	"Batch2"	"Group1"	60706.4725251501
